Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,928.1799926757812,933.9600219726562,928.1799926757812,931.9000244140625,931.9000244140625,3442020000
2016-06-07,932.0700073242188,935.739990234375,932.0700073242188,932.22998046875,932.22998046875,3534730000
2016-06-08,932.4500122070312,935.8900146484375,932.4500122070312,935.27001953125,935.27001953125,3562060000
2016-06-09,933.8499755859375,934.6199951171875,930.0599975585938,933.5800170898438,933.5800170898438,3290320000
2016-06-10,931.5599975585938,931.5599975585938,924.0399780273438,926.75,926.75,3515010000
2016-06-13,924.7999877929688,927.030029296875,919.25,919.4500122070312,919.4500122070312,3392030000
2016-06-14,918.52001953125,920.5800170898438,913.510009765625,918.4600219726562,918.4600219726562,3759770000
2016-06-15,919.5399780273438,922.0999755859375,915.0599975585938,915.72998046875,915.72998046875,3544720000
2016-06-16,913.7899780273438,920.2899780273438,906.9299926757812,919.5399780273438,919.5399780273438,3628280000
2016-06-17,919.5900268554688,919.5900268554688,911.4299926757812,914.9500122070312,914.9500122070312,4952630000
2016-06-20,916.1599731445312,927.1699829101562,916.1599731445312,919.27001953125,919.27001953125,3467440000
2016-06-21,920.1400146484375,924.1599731445312,919.6900024414062,922.0499877929688,922.0499877929688,3232880000
2016-06-22,922.3400268554688,927.4299926757812,920.3300170898438,920.8200073242188,920.8200073242188,3168160000
2016-06-23,923.5900268554688,932.5800170898438,923.5900268554688,932.5800170898438,932.5800170898438,3297940000
2016-06-24,928.1599731445312,928.1599731445312,898.1199951171875,900.510009765625,900.510009765625,7597450000
2016-06-27,898.4199829101562,898.4199829101562,883.2000122070312,887.3800048828125,887.3800048828125,5431220000
2016-06-28,889.469970703125,902.3599853515625,889.469970703125,902.3599853515625,902.3599853515625,4385810000
2016-06-29,904.52001953125,917.77001953125,904.52001953125,916.8200073242188,916.8200073242188,4241740000
2016-06-30,917.8499755859375,928.1900024414062,916.8400268554688,928.1300048828125,928.1300048828125,4622820000
2016-07-01,928.4099731445312,932.219970703125,927.469970703125,929.6799926757812,929.6799926757812,3458890000
2016-07-05,926.2899780273438,926.2899780273438,921.5,924.7100219726562,924.7100219726562,3658380000
2016-07-06,923.239990234375,930.3599853515625,918.6799926757812,929.8400268554688,929.8400268554688,3909380000
2016-07-07,930.010009765625,933.4600219726562,925.5,929.3400268554688,929.3400268554688,3604550000
2016-07-08,932.5599975585938,942.9500122070312,932.5599975585938,942.25,942.25,3607500000
2016-07-11,942.8699951171875,948.6199951171875,942.8699951171875,945.6400146484375,945.6400146484375,3253340000
2016-07-12,946.22998046875,952.4400024414062,946.22998046875,950.989990234375,950.989990234375,4097820000
2016-07-13,951.3499755859375,952.4400024414062,948.969970703125,951.02001953125,951.02001953125,3502320000
2016-07-14,952.6900024414062,958.8499755859375,952.6900024414062,956.6300048828125,956.6300048828125,3465610000
2016-07-15,956.9000244140625,959.5499877929688,952.8699951171875,955.9199829101562,955.9199829101562,3122600000
2016-07-18,956.030029296875,959.4600219726562,955.2000122070312,958.7100219726562,958.7100219726562,3009310000
2016-07-19,957.5,959.1099853515625,956.2100219726562,958.4199829101562,958.4199829101562,2968340000
2016-07-20,959.3099975585938,963.8699951171875,959.3099975585938,962.4400024414062,962.4400024414062,3211860000
2016-07-21,962.72998046875,963.010009765625,956.6799926757812,959.0800170898438,959.0800170898438,3438900000
2016-07-22,959.3699951171875,962.2899780273438,957.77001953125,962.2899780273438,962.2899780273438,3023280000
2016-07-25,961.8200073242188,961.8300170898438,956.4000244140625,959.1699829101562,959.1699829101562,3057240000
2016-07-26,959.47998046875,960.4600219726562,954.2899780273438,957.0900268554688,957.0900268554688,3442350000
2016-07-27,957.5499877929688,961.0900268554688,955.530029296875,958.5900268554688,958.5900268554688,3995500000
2016-07-28,958.5900268554688,960.72998046875,955.1799926757812,959.5999755859375,959.5999755859375,3664240000
2016-07-29,959.25,963.7999877929688,958.239990234375,961.75,961.75,4038840000
2016-08-01,961.8099975585938,964.6699829101562,959.47998046875,961.7899780273438,961.7899780273438,3505990000
2016-08-02,961.6199951171875,961.9099731445312,952.8800048828125,957.1199951171875,957.1199951171875,3848750000
2016-08-03,957.0399780273438,958.8300170898438,955.4500122070312,958.8300170898438,958.8300170898438,3786530000
2016-08-04,958.7000122070312,960.3099975585938,956.5399780273438,958.9400024414062,958.9400024414062,3709200000
2016-08-05,960.6500244140625,966.9199829101562,960.2000122070312,966.9199829101562,966.9199829101562,3663070000
2016-08-08,966.8300170898438,967.3599853515625,964.0900268554688,965.97998046875,965.97998046875,3327550000
2016-08-09,966.5599975585938,969.4199829101562,965.510009765625,966.9299926757812,966.9299926757812,3334300000
2016-08-10,967.3200073242188,967.47998046875,962.22998046875,963.780029296875,963.780029296875,3254950000
2016-08-11,964.719970703125,968.9600219726562,964.719970703125,967.6599731445312,967.6599731445312,3423160000
2016-08-12,966.6099853515625,967.22998046875,964.5700073242188,966.510009765625,966.510009765625,3000660000
